name,company,title,email,phone,city,market,segment,category,industry,source,listing_count,contact_readiness
Parkplace Properties,,Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,8,needs_contact_enrichment
Qterra Property Management,,Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,9,needs_contact_enrichment
,Bloom Property Management,Rental real estate contact,,(519) 266-6252,London,london_middlesex,rental,property_management,Property Management,listing_market_export,40,direct_contact_available
,BlueStone Properties Inc,Rental real estate contact,,(226) 268-4541,London,london_middlesex,rental,property_management,Property Management,listing_market_export,3,direct_contact_available
,Briarlane Rental Property Management Inc.,Rental real estate contact,,(519) 200-8170,London,london_middlesex,rental,property_management,Property Management,listing_market_export,4,direct_contact_available
Rental Agent,Exclusive Rentals Ltd.,Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment
,Joe Bright Properties,Rental real estate contact,,15196367475,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,direct_contact_available
,Killam Apartment REIT,Rental real estate contact,,(833) 524-1366,London,london_middlesex,rental,property_management,Property Management,listing_market_export,2,direct_contact_available
RPA Automation,Luxury Student Rentals Inc,Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,8,needs_contact_enrichment
,Old Oak Properties Inc.,Rental real estate contact,,(226) 927-2416,London,london_middlesex,rental,property_management,Property Management,listing_market_export,10,direct_contact_available
,Rembrandt Property Management Inc,Rental real estate contact,,(519) 204-9425,London,london_middlesex,rental,property_management,Property Management,listing_market_export,2,direct_contact_available
,Rosegate Property Management,Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment
Dylan O'Callaghan,Strano Property Management,Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment
Rentals Team,Strano Property Management,Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,2,needs_contact_enrichment
Goldmar Property Management,,Rental real estate contact,,,Windsor,windsor_essex,rental,property_management,Property Management,listing_market_export,24,needs_contact_enrichment
Richmond Property Management,,Rental real estate contact,,,Windsor,windsor_essex,rental,property_management,Property Management,listing_market_export,8,needs_contact_enrichment
York Property Management,,Rental real estate contact,,,Windsor,windsor_essex,rental,property_management,Property Management,listing_market_export,3,needs_contact_enrichment
Marie,Home 2 Home Properties Inc,Rental real estate contact,,,Windsor,windsor_essex,rental,property_management,Property Management,listing_market_export,17,needs_contact_enrichment
Richmond Property Management,Richmond Property Management,Rental real estate contact,,,Windsor,windsor_essex,rental,property_management,Property Management,listing_market_export,20,needs_contact_enrichment
,Whitehall Apartments,Rental real estate contact,,,Windsor,windsor_essex,rental,property_management,Property Management,listing_market_export,2,needs_contact_enrichment
